"Statistic Label","Census Year","Sex","CSO Electoral Divisions 2022","UNIT","VALUE"
"Persons with a disability","2022","Males","Phoenix Park, Dublin City","Number","200"
"Persons with a disability","2022","Males","Priorswood A, Dublin City","Number","180"
"Persons with a disability","2022","Males","Priorswood B, Dublin City","Number","316"
"Persons with a disability","2022","Males","Priorswood C, Dublin City","Number","517"
"Persons with a disability","2022","Males","Priorswood D, Dublin City","Number","344"
"Persons with a disability","2022","Males","Priorswood E, Dublin City","Number","327"
"Persons with a disability","2022","Males","Raheny-Foxfield, Dublin City","Number","284"
"Persons with a disability","2022","Males","Raheny-Greendale, Dublin City","Number","265"
"Persons with a disability","2022","Males","Raheny-St. Assam, Dublin City","Number","438"
"Persons with a disability","2022","Males","Rathfarnham, Dublin City","Number","556"
"Persons with a disability","2022","Males","Rathmines East A, Dublin City","Number","477"
"Persons with a disability","2022","Males","Rathmines East B, Dublin City","Number","391"
"Persons with a disability","2022","Males","Rathmines East C, Dublin City","Number","303"
"Persons with a disability","2022","Males","Rathmines East D, Dublin City","Number","198"
"Persons with a disability","2022","Males","Rathmines West A, Dublin City","Number","526"
"Persons with a disability","2022","Males","Rathmines West B, Dublin City","Number","297"
"Persons with a disability","2022","Males","Rathmines West C, Dublin City","Number","224"
"Persons with a disability","2022","Males","Rathmines West D, Dublin City","Number","300"
"Persons with a disability","2022","Males","Rathmines West E, Dublin City","Number","295"
"Persons with a disability","2022","Males","Rathmines West F, Dublin City","Number","284"
"Persons with a disability","2022","Males","Rotunda A, Dublin City","Number","524"
"Persons with a disability","2022","Males","Rotunda B, Dublin City","Number","178"
"Persons with a disability","2022","Males","Royal Exchange A, Dublin City","Number","328"
"Persons with a disability","2022","Males","Royal Exchange B, Dublin City","Number","196"
"Persons with a disability","2022","Males","Saint Kevin's, Dublin City","Number","491"
"Persons with a disability","2022","Males","South Dock, Dublin City","Number","667"
"Persons with a disability","2022","Males","Terenure A, Dublin City","Number","398"
"Persons with a disability","2022","Males","Terenure B, Dublin City","Number","364"
"Persons with a disability","2022","Males","Terenure C, Dublin City","Number","187"
"Persons with a disability","2022","Males","Terenure D, Dublin City","Number","70"
"Persons with a disability","2022","Males","Ushers A, Dublin City","Number","515"
"Persons with a disability","2022","Males","Ushers B, Dublin City","Number","175"
"Persons with a disability","2022","Males","Ushers C, Dublin City","Number","413"
"Persons with a disability","2022","Males","Ushers D, Dublin City","Number","215"
"Persons with a disability","2022","Males","Ushers E, Dublin City","Number","232"
"Persons with a disability","2022","Males","Ushers F, Dublin City","Number","492"
"Persons with a disability","2022","Males","Walkinstown A, Dublin City","Number","255"
"Persons with a disability","2022","Males","Walkinstown B, Dublin City","Number","214"
"Persons with a disability","2022","Males","Walkinstown C, Dublin City","Number","260"
"Persons with a disability","2022","Males","Whitehall A, Dublin City","Number","361"
"Persons with a disability","2022","Males","Whitehall B, Dublin City","Number","459"
"Persons with a disability","2022","Males","Whitehall C, Dublin City","Number","285"
"Persons with a disability","2022","Males","Whitehall D, Dublin City","Number","346"
"Persons with a disability","2022","Males","Wood Quay A, Dublin City","Number","435"
"Persons with a disability","2022","Males","Wood Quay B, Dublin City","Number","329"
"Persons with a disability","2022","Males","Ballinascorney, South Dublin","Number","92"
"Persons with a disability","2022","Males","Ballyboden, South Dublin","Number","473"
"Persons with a disability","2022","Males","Bohernabreena, South Dublin","Number","527"
"Persons with a disability","2022","Males","Clondalkin Village, South Dublin","Number","948"
"Persons with a disability","2022","Males","Clondalkin-Ballymount, South Dublin","Number","171"
"Persons with a disability","2022","Males","Clondalkin-Cappaghmore, South Dublin","Number","291"
"Persons with a disability","2022","Males","Clondalkin-Dunawley, South Dublin","Number","1277"
"Persons with a disability","2022","Males","Clondalkin-Monastery, South Dublin","Number","1145"
"Persons with a disability","2022","Males","Clondalkin-Moorfield, South Dublin","Number","778"
"Persons with a disability","2022","Males","Clondalkin-Rowlagh, South Dublin","Number","504"
"Persons with a disability","2022","Males","Edmondstown, South Dublin","Number","626"
"Persons with a disability","2022","Males","Firhouse Village, South Dublin","Number","1116"
"Persons with a disability","2022","Males","Firhouse-Ballycullen, South Dublin","Number","789"
"Persons with a disability","2022","Males","Firhouse-Knocklyon, South Dublin","Number","369"
"Persons with a disability","2022","Males","Lucan Heights, South Dublin","Number","569"
"Persons with a disability","2022","Males","Lucan-Esker, South Dublin","Number","2716"
"Persons with a disability","2022","Males","Lucan-St. Helens, South Dublin","Number","1328"
"Persons with a disability","2022","Males","Newcastle, South Dublin","Number","530"
"Persons with a disability","2022","Males","Palmerston Village, South Dublin","Number","434"
"Persons with a disability","2022","Males","Palmerston West, South Dublin","Number","920"
"Persons with a disability","2022","Males","Rathcoole, South Dublin","Number","569"
"Persons with a disability","2022","Males","Rathfarnham Village, South Dublin","Number","272"
"Persons with a disability","2022","Males","Rathfarnham-Ballyroan, South Dublin","Number","252"
"Persons with a disability","2022","Males","Rathfarnham-Butterfield, South Dublin","Number","356"
"Persons with a disability","2022","Males","Rathfarnham-Hermitage, South Dublin","Number","376"
"Persons with a disability","2022","Males","Rathfarnham-St. Enda's, South Dublin","Number","389"
"Persons with a disability","2022","Males","Saggart, South Dublin","Number","451"
"Persons with a disability","2022","Males","Tallaght-Avonbeg, South Dublin","Number","246"
"Persons with a disability","2022","Males","Tallaght-Belgard, South Dublin","Number","197"
"Persons with a disability","2022","Males","Tallaght-Fettercairn, South Dublin","Number","1162"
"Persons with a disability","2022","Males","Tallaght-Glenview, South Dublin","Number","222"
"Persons with a disability","2022","Males","Tallaght-Jobstown, South Dublin","Number","1740"
"Persons with a disability","2022","Males","Tallaght-Killinardan, South Dublin","Number","513"
"Persons with a disability","2022","Males","Tallaght-Kilnamanagh, South Dublin","Number","498"
"Persons with a disability","2022","Males","Tallaght-Kiltipper, South Dublin","Number","953"
